market,region,state,active_utilities,active_primes,engineering_firms,municipalities,broadband_programs,known_contacts,upcoming_opportunities,confidence_score,strategic_priority,source_url,source_type,review_status,import_source,notes
Georgia,Southeast,GA,Georgia Power; electric cooperatives,Comcast; Charter; AT&T; Windstream,Byers Engineering; Kimley-Horn; Thomas & Hutton,Georgia municipal broadband/public authorities,Georgia broadband office / BEAD,Role targets only,BEAD and provider construction pipeline,90,Critical,https://broadband.georgia.gov,Official Government,Verified,real_hunt,Core Southeast hunting market
Florida,Southeast,FL,Florida Power & Light; municipal utilities,Comcast; Charter; AT&T,Kimley-Horn; AECOM; Black & Veatch,Florida municipalities,Florida Office of Broadband / BEAD,Role targets only,BEAD and provider construction pipeline,88,High,https://www.floridajobs.org/community-planning-and-development/broadband/office-of-broadband,Official Government,Verified,real_hunt,Priority Southeast hunting market
Alabama,Southeast,AL,Alabama Power; TVA ecosystem,Comcast; Charter; AT&T; Windstream,S&ME; CHA; engineering targets,Alabama municipalities,ADECA Digital Expansion / BEAD,Role targets only,Broadband deployment pipeline,86,High,https://adeca.alabama.gov/digital-expansion/,Official Government,Verified,real_hunt,Priority Southeast hunting market
Tennessee,Southeast,TN,TVA; EPB; local utilities,Comcast; Charter; AT&T; Windstream,Engineering targets,Chattanooga; rural municipalities,Tennessee Broadband Office / BEAD,Role targets only,Utility fiber and broadband pipeline,86,High,https://www.tn.gov/ecd/rural-development/broadband-office.html,Official Government,Verified,real_hunt,Priority Southeast hunting market
North Carolina,Southeast,NC,Duke Energy; co-ops; municipal utilities,Charter; AT&T; Brightspeed; Windstream,Kimley-Horn; McAdams; McKim & Creed,Wilson; county programs,NC Broadband Infrastructure Office / GREAT / BEAD,Role targets only,Municipal and state broadband pipeline,88,High,https://www.ncbroadband.gov,Official Government,Verified,real_hunt,Priority Southeast hunting market
South Carolina,Southeast,SC,Duke Energy; electric cooperatives,Charter; AT&T; Windstream,Thomas & Hutton; engineering targets,SC municipalities,SC Broadband Office / BEAD,Role targets only,Broadband expansion pipeline,84,High,https://ors.sc.gov/broadband,Official Government,Verified,real_hunt,Priority Southeast hunting market
Michigan,Great Lakes,MI,DTE Energy; Consumers Energy; ITC,Frontier; Comcast; Charter; AT&T,CCI Systems; engineering targets,Michigan municipalities,MIHI / BEAD / ROBIN,Role targets only,Fiber expansion and grant pipeline,90,Critical,https://www.michigan.gov/leo/bureaus-agencies/mihsi,Official Government,Verified,real_hunt,Core Great Lakes hunting market
Ohio,Great Lakes,OH,AEP Ohio; FirstEnergy,Charter; Frontier; AT&T; independents,Engineering targets,Ohio municipalities,BroadbandOhio / BEAD,Role targets only,Broadband expansion pipeline,88,High,https://broadband.ohio.gov,Official Government,Verified,real_hunt,Priority Great Lakes hunting market
Indiana,Great Lakes,IN,AES Indiana; NiSource; REMCs,Metronet; AT&T; Frontier,Engineering targets,Indiana municipalities,Indiana Broadband Office / BEAD,Role targets only,Broadband expansion pipeline,84,High,https://www.in.gov/indianabroadband,Official Government,Verified,real_hunt,Priority Great Lakes hunting market
Houston / Texas,Southwest,TX,CenterPoint; Oncor; Entergy Texas; LCRA,AT&T; Comcast; Charter; Frontier; Windstream,T2 Utility Engineers; Black & Veatch; POWER Engineers,Houston; Austin; Texas municipalities,Texas Broadband Development Office / BEAD,Role targets only,Houston utility and broadband construction pipeline,88,Critical,https://comptroller.texas.gov/programs/broadband/,Official Government,Verified,real_hunt,Core Southwest expansion market
