organization_name,website,services,regions_markets,public_hiring_activity,public_awards_news,subcontractor_programs,competitive_pressure_notes,source_url,source_type,confidence_score,review_status,import_source,notes
MasTec,https://www.mastec.com,Communications and utility infrastructure construction,National target regions,Public careers page should be monitored,Official news and investor materials should be monitored,Vendor/subcontractor access requires review,Large national prime and competitor pressure source,https://www.mastec.com,Official Company,86,Pending Review,real_hunt,Priority competitor/prime
Congruex,https://www.congruex.com,Digital infrastructure engineering and construction,National target regions,Public careers page should be monitored,Official news should be monitored,Vendor/subcontractor access requires review,Large telecom infrastructure competitor pressure source,https://www.congruex.com,Official Company,84,Pending Review,real_hunt,Priority competitor/prime
Ervin Cable Construction,https://www.ervincable.com,Cable and fiber construction,National target regions,Public careers page should be monitored,Official site should be monitored,Vendor/subcontractor access requires review,Telecom construction competitor and capacity signal source,https://www.ervincable.com,Official Company,82,Pending Review,real_hunt,Priority competitor/prime
Ansco & Associates,https://www.anscollc.com,Telecom engineering and construction,Southeast and national,Public careers page should be monitored,Official site should be monitored,Vendor/subcontractor access requires review,Southeast telecom construction competitor pressure source,https://www.anscollc.com,Official Company,82,Pending Review,real_hunt,Priority competitor/prime
SQUAN,https://www.squan.com,Telecom engineering construction and maintenance,National target regions,Public careers page should be monitored,Official news should be monitored,Vendor/subcontractor access requires review,Telecom infrastructure competitor pressure source,https://www.squan.com,Official Company,80,Pending Review,real_hunt,Priority competitor/prime
Utilities One,https://utilitiesone.com,Telecom utility and infrastructure services,National target regions,Public careers page should be monitored,Official news should be monitored,Vendor/subcontractor access requires review,Competitive capacity and subcontractor recruiting signal source,https://utilitiesone.com,Official Company,78,Pending Review,real_hunt,Priority competitor/prime
National OnDemand,https://www.nationalondemand.com,Telecom and broadband services,National target regions,Public careers page should be monitored,Official site should be monitored,Vendor/subcontractor access requires review,Broadband service competitor/capacity signal source,https://www.nationalondemand.com,Official Company,78,Pending Review,real_hunt,Priority competitor/prime
Tilson,https://tilsontech.com,Telecom infrastructure deployment and consulting,National target regions,Public careers page should be monitored,Official news should be monitored,Vendor/subcontractor access requires review,Telecom infrastructure competitor and possible partner,https://tilsontech.com,Official Company,80,Pending Review,real_hunt,Priority competitor/prime
Dycom Industries,https://www.dycomind.com,Specialty contracting for telecommunications infrastructure,National target regions,Public careers and investor reports should be monitored,Official investor/news materials should be monitored,Subsidiary/vendor access requires review,Large national telecom infrastructure competitor,https://www.dycomind.com,Official Company,86,Pending Review,real_hunt,Priority competitor/prime
Quanta Services,https://www.quantaservices.com,Utility and communications infrastructure,National target regions,Public careers page should be monitored,Official news should be monitored,Vendor/subcontractor access requires review,Large infrastructure competitor/prime with communications exposure,https://www.quantaservices.com,Official Company,84,Pending Review,real_hunt,Priority competitor/prime
Henkels & McCoy,https://www.henkels.com,Utility and communications infrastructure,National target regions,Public careers page should be monitored,Official news should be monitored,Vendor/subcontractor access requires review,Large utility/communications infrastructure competitor,https://www.henkels.com,Official Company,82,Pending Review,real_hunt,Priority competitor/prime
Pike Corporation,https://www.pike.com,Utility and telecom infrastructure,Southeast and national,Public careers page should be monitored,Official news should be monitored,Vendor/subcontractor access requires review,Southeast capacity and competitor pressure source,https://www.pike.com,Official Company,82,Pending Review,real_hunt,Priority competitor/prime
